food_id,name,category,price,quantity_available,nutrition_tag,seller_id,location
46,Rice,carb,2962,193,High Fibre,138,"Gumel, Jigawa"
47,Rice,carb,1033,183,High Energy,139,"Hadejia, Jigawa"
48,Rice,carb,2625,89,High Fibre,143,"Kazaure, Jigawa"
49,Rice,carb,1113,40,High Energy,146,"Jemaa, Kaduna"
50,Rice,carb,2335,47,High Energy,148,"Kaduna, Kaduna"
51,Rice,carb,1559,48,High Energy,151,"Zaria, Kaduna"
52,Rice,carb,1347,171,High Energy,154,"Kano, Kano"
53,Rice,carb,2157,83,High Fibre,157,"Daura, Katsina"
54,Rice,carb,1012,57,High Energy,161,"Katsina, Katsina"
55,Rice,carb,2530,137,High Fibre,165,"Argungu, Kebbi"
56,Rice,carb,2969,85,High Energy,168,"Birnin Kebbi, Kebbi"
57,Rice,carb,2451,105,High Energy,171,"Gwandu, Kebbi"
58,Rice,carb,1496,108,High Fibre,174,"Yelwa, Kebbi"
59,Rice,carb,1554,39,High Fibre,177,"Idah, Kogi"
60,Rice,carb,2777,104,High Energy,178,"Kabba, Kogi"
61,Rice,carb,2403,71,High Energy,181,"Lokoja, Kogi"
62,Rice,carb,1121,35,High Fibre,185,"Okene, Kogi"
63,Rice,carb,1620,159,High Fibre,188,"Ilorin, Kwara"
64,Rice,carb,1966,160,High Fibre,191,"Jebba, Kwara"
65,Rice,carb,1368,49,High Energy,195,"Lafiagi, Kwara"
66,Rice,carb,1834,191,High Energy,196,"Offa, Kwara"
67,Rice,carb,1577,195,High Fibre,200,"Pategi, Kwara"
68,Rice,carb,1682,62,High Energy,204,"Badagry, Lagos"
69,Rice,carb,2004,103,High Energy,207,"Epe, Lagos"
70,Rice,carb,2989,115,High Energy,210,"Ikeja, Lagos"
71,Rice,carb,2126,168,High Energy,212,"Ikorodu, Lagos"
72,Rice,carb,2169,165,High Fibre,214,"Lagos, Lagos"
73,Rice,carb,1989,182,High Energy,218,"Mushin, Lagos"
74,Rice,carb,1287,111,High Fibre,220,"Shomolu, Lagos"
75,Rice,carb,2725,143,High Fibre,223,"Keffi, Nasarawa"
76,Rice,carb,1461,132,High Fibre,228,"Lafia, Nasarawa"
77,Rice,carb,2163,89,High Fibre,231,"Nasarawa, Nasarawa"
78,Rice,carb,1997,45,High Fibre,232,"Agaie, Niger"
79,Rice,carb,1848,174,High Energy,237,"Baro, Niger"
80,Rice,carb,2903,174,High Energy,238,"Bida, Niger"
81,Rice,carb,2832,165,High Energy,243,"Kontagora, Niger"
82,Rice,carb,1909,82,High Energy,244,"Lapai, Niger"
83,Rice,carb,2979,22,High Fibre,247,"Minna, Niger"
84,Rice,carb,2375,81,High Energy,251,"Suleja, Niger"
85,Rice,carb,2152,47,High Energy,253,"Abeokuta, Ogun"
86,Rice,carb,1628,138,High Energy,256,"Ijebu-Ode, Ogun"
87,Rice,carb,2240,108,High Fibre,261,"Ilaro, Ogun"
88,Rice,carb,2249,107,High Fibre,263,"Shagamu, Ogun"
89,Rice,carb,2282,49,High Energy,265,"Akure, Ondo"
90,Rice,carb,2245,30,High Fibre,270,"Ikare, Ondo"
91,Rice,carb,1711,184,High Fibre,272,"Oka-Akoko, Ondo"
92,Rice,carb,2939,195,High Energy,276,"Ondo, Ondo"
93,Rice,carb,1055,177,High Fibre,279,"Owo, Ondo"
94,Rice,carb,1341,165,High Fibre,281,"Ede, Osun"
95,Rice,carb,2785,105,High Fibre,284,"Ikire, Osun"
96,Rice,carb,2248,24,High Fibre,288,"Ikirun, Osun"
97,Rice,carb,1765,172,High Energy,289,"Ila, Osun"
98,Rice,carb,2688,53,High Fibre,292,"Ile-Ife, Osun"
99,Rice,carb,1674,141,High Energy,295,"Ilesha, Osun"
100,Rice,carb,2884,80,High Fibre,300,"Ilobu, Osun"
101,Rice,carb,1007,96,High Fibre,302,"Inisa, Osun"
102,Rice,carb,1324,156,High Energy,305,"Iwo, Osun"
103,Rice,carb,1786,72,High Fibre,307,"Oshogbo, Osun"
104,Rice,carb,2199,151,High Energy,312,"Ibadan, Oyo"
105,Rice,carb,2931,180,High Energy,313,"Iseyin, Oyo"
106,Rice,carb,1646,90,High Fibre,318,"Ogbomosho, Oyo"
107,Rice,carb,2208,141,High Fibre,320,"Oyo, Oyo"
108,Rice,carb,2436,57,High Energy,323,"Saki, Oyo"
109,Rice,carb,2073,144,High Energy,327,"Bukuru, Plateau"
110,Rice,carb,1876,77,High Fibre,330,"Jos, Plateau"
111,Rice,carb,1809,27,High Fibre,333,"Vom, Plateau"
112,Rice,carb,1992,45,High Energy,336,"Wase, Plateau"
113,Rice,carb,1570,130,High Energy,338,"Bonny, Rivers"
114,Rice,carb,1417,45,High Energy,341,"Degema, Rivers"
115,Rice,carb,1954,86,High Energy,345,"Okrika, Rivers"
116,Rice,carb,1141,139,High Energy,348,"Port Harcourt, Rivers"
117,Rice,carb,1902,161,High Energy,351,"Sokoto, Sokoto"
118,Rice,carb,2947,33,High Energy,352,"Ibi, Taraba"
119,Rice,carb,2940,84,High Fibre,355,"Jalingo, Taraba"
120,Rice,carb,2096,68,High Fibre,359,"Muri, Taraba"
121,Rice,carb,1533,30,High Energy,362,"Damaturu, Yobe"
122,Rice,carb,1373,61,High Fibre,365,"Nguru, Yobe"
123,Rice,carb,1578,156,High Energy,367,"Gusau, Zamfara"
124,Rice,carb,1624,167,High Energy,371,"Kaura Namoda, Zamfara"
125,Maize,carb,2447,121,High Energy,3,"Aba, Abia"
126,Maize,carb,1297,36,High Fibre,4,"Arochukwu, Abia"
127,Maize,carb,1927,134,High Energy,8,"Umuahia, Abia"
128,Maize,carb,2406,130,High Fibre,12,"Jimeta, Adamawa"
129,Maize,carb,1657,174,High Fibre,14,"Mubi, Adamawa"
130,Maize,carb,2338,74,High Fibre,16,"Numan, Adamawa"
131,Maize,carb,1073,139,High Fibre,21,"Yola, Adamawa"
132,Maize,carb,1425,145,High Fibre,23,"Ikot Abasi, Akwa Ibom"
133,Maize,carb,2738,145,High Fibre,27,"Ikot Ekpene, Akwa Ibom"
134,Maize,carb,1017,83,High Energy,30,"Oron, Akwa Ibom"
135,Maize,carb,2120,132,High Energy,32,"Uyo, Akwa Ibom"
136,Maize,carb,1061,161,High Fibre,36,"Awka, Anambra"
137,Maize,carb,1209,112,High Fibre,39,"Onitsha, Anambra"
138,Maize,carb,1602,71,High Energy,41,"Azare, Bauchi"
139,Maize,carb,1133,179,High Fibre,45,"Bauchi, Bauchi"
140,Maize,carb,2851,92,High Energy,47,"Jama'are, Bauchi"
141,Maize,carb,2083,151,High Fibre,50,"Katagum, Bauchi"
142,Maize,carb,1963,182,High Energy,54,"Misau, Bauchi"
143,Maize,carb,1291,180,High Fibre,57,"Brass, Bayelsa"
144,Maize,carb,2628,142,High Fibre,59,"Makurdi, Benue"
145,Maize,carb,1351,40,High Fibre,62,"Biu, Borno"
146,Maize,carb,2852,60,High Energy,66,"Dikwa, Borno"
147,Maize,carb,2915,54,High Energy,69,"Maiduguri, Borno"
148,Maize,carb,1280,105,High Energy,71,"Calabar, Cross River"
149,Maize,carb,2098,160,High Fibre,73,"Ogoja, Cross River"
150,Maize,carb,1452,134,High Fibre,78,"Asaba, Delta"
151,Maize,carb,2436,143,High Fibre,80,"Burutu, Delta"
152,Maize,carb,1276,145,High Energy,84,"Koko, Delta"
153,Maize,carb,2905,41,High Energy,87,"Sapele, Delta"
154,Maize,carb,1211,75,High Fibre,90,"Ughelli, Delta"
155,Maize,carb,1993,118,High Fibre,93,"Warri, Delta"
156,Maize,carb,2859,151,High Energy,95,"Abakaliki, Ebonyi"
157,Maize,carb,2640,27,High Fibre,97,"Benin City, Edo"
158,Maize,carb,2975,123,High Fibre,101,"Ado-Ekiti, Ekiti"
159,Maize,carb,2847,196,High Energy,104,"Effon-Alaiye, Ekiti"
160,Maize,carb,2510,188,High Fibre,106,"Ikere-Ekiti, Ekiti"
161,Maize,carb,1130,125,High Energy,110,"Enugu, Enugu"
162,Maize,carb,2091,183,High Fibre,112,"Nsukka, Enugu"
163,Maize,carb,1355,91,High Energy,116,"Abuja, FCT"
164,Maize,carb,1269,123,High Energy,118,"Deba Habe, Gombe"
165,Maize,carb,1475,76,High Fibre,121,"Gombe, Gombe"
166,Maize,carb,1072,32,High Fibre,124,"Kumo, Gombe"
167,Maize,carb,2099,36,High Fibre,128,"Owerri, Imo"
168,Maize,carb,1849,100,High Energy,131,"Birnin Kudu, Jigawa"
169,Maize,carb,1392,179,High Fibre,135,"Dutse, Jigawa"
170,Maize,carb,1800,63,High Fibre,136,"Gumel, Jigawa"
171,Maize,carb,2105,143,High Energy,141,"Hadejia, Jigawa"
172,Maize,carb,1896,153,High Fibre,144,"Kazaure, Jigawa"
173,Maize,carb,1408,110,High Fibre,146,"Jemaa, Kaduna"
174,Maize,carb,1990,132,High Energy,150,"Kaduna, Kaduna"
175,Maize,carb,2882,76,High Fibre,152,"Zaria, Kaduna"
176,Maize,carb,1649,63,High Energy,156,"Kano, Kano"
177,Maize,carb,2138,163,High Fibre,159,"Daura, Katsina"
178,Maize,carb,1960,37,High Fibre,162,"Katsina, Katsina"
179,Maize,carb,1234,172,High Fibre,163,"Argungu, Kebbi"
180,Maize,carb,2026,116,High Energy,168,"Birnin Kebbi, Kebbi"
181,Maize,carb,1026,57,High Energy,169,"Gwandu, Kebbi"
182,Maize,carb,1997,149,High Fibre,173,"Yelwa, Kebbi"
183,Maize,carb,1589,27,High Fibre,175,"Idah, Kogi"
184,Maize,carb,1555,82,High Fibre,180,"Kabba, Kogi"
185,Maize,carb,2330,167,High Energy,182,"Lokoja, Kogi"
186,Maize,carb,1405,21,High Fibre,185,"Okene, Kogi"
187,Maize,carb,2405,29,High Fibre,189,"Ilorin, Kwara"
188,Maize,carb,1187,179,High Fibre,191,"Jebba, Kwara"
189,Maize,carb,1362,44,High Fibre,195,"Lafiagi, Kwara"
190,Maize,carb,2689,82,High Energy,198,"Offa, Kwara"
191,Maize,carb,1259,24,High Energy,200,"Pategi, Kwara"
192,Maize,carb,1188,143,High Energy,202,"Badagry, Lagos"
193,Maize,carb,2787,88,High Energy,207,"Epe, Lagos"
194,Maize,carb,1434,91,High Fibre,210,"Ikeja, Lagos"
195,Maize,carb,2964,39,High Fibre,211,"Ikorodu, Lagos"
196,Maize,carb,1231,138,High Energy,214,"Lagos, Lagos"
197,Maize,carb,1535,171,High Energy,217,"Mushin, Lagos"
198,Maize,carb,1986,177,High Fibre,222,"Shomolu, Lagos"
199,Maize,carb,1941,138,High Energy,224,"Keffi, Nasarawa"
200,Maize,carb,1143,96,High Fibre,228,"Lafia, Nasarawa"
201,Maize,carb,1145,198,High Fibre,231,"Nasarawa, Nasarawa"
202,Maize,carb,1449,57,High Fibre,234,"Agaie, Niger"
203,Maize,carb,1973,185,High Energy,235,"Baro, Niger"
204,Maize,carb,2679,105,High Fibre,239,"Bida, Niger"
205,Maize,carb,1079,173,High Fibre,242,"Kontagora, Niger"
206,Maize,carb,2398,71,High Energy,245,"Lapai, Niger"
207,Maize,carb,2846,23,High Fibre,247,"Minna, Niger"
208,Maize,carb,1290,68,High Fibre,250,"Suleja, Niger"
209,Maize,carb,1874,119,High Energy,255,"Abeokuta, Ogun"
210,Maize,carb,1101,123,High Energy,257,"Ijebu-Ode, Ogun"
211,Maize,carb,2089,134,High Energy,261,"Ilaro, Ogun"
212,Maize,carb,1958,111,High Fibre,263,"Shagamu, Ogun"
213,Maize,carb,1757,124,High Fibre,265,"Akure, Ondo"
214,Maize,carb,2964,83,High Fibre,270,"Ikare, Ondo"
215,Maize,carb,2569,147,High Fibre,273,"Oka-Akoko, Ondo"
216,Maize,carb,1589,171,High Fibre,276,"Ondo, Ondo"
217,Maize,carb,1628,70,High Fibre,277,"Owo, Ondo"
218,Maize,carb,1681,119,High Energy,281,"Ede, Osun"
219,Maize,carb,1295,200,High Energy,285,"Ikire, Osun"
220,Maize,carb,1259,159,High Energy,286,"Ikirun, Osun"
221,Maize,carb,2464,124,High Fibre,291,"Ila, Osun"
222,Maize,carb,1781,189,High Energy,292,"Ile-Ife, Osun"
223,Maize,carb,2748,43,High Energy,296,"Ilesha, Osun"
224,Maize,carb,1165,20,High Fibre,300,"Ilobu, Osun"
225,Maize,carb,2988,125,High Fibre,301,"Inisa, Osun"
226,Maize,carb,1651,198,High Fibre,304,"Iwo, Osun"
227,Maize,carb,1286,64,High Fibre,308,"Oshogbo, Osun"
228,Maize,carb,1596,172,High Energy,310,"Ibadan, Oyo"
229,Maize,carb,1919,43,High Energy,313,"Iseyin, Oyo"
230,Maize,carb,1838,56,High Fibre,317,"Ogbomosho, Oyo"
231,Maize,carb,1459,148,High Fibre,319,"Oyo, Oyo"
232,Maize,carb,1682,145,High Energy,323,"Saki, Oyo"
233,Maize,carb,2992,150,High Energy,327,"Bukuru, Plateau"
234,Maize,carb,2913,67,High Energy,330,"Jos, Plateau"
235,Maize,carb,2051,169,High Energy,333,"Vom, Plateau"
236,Maize,carb,1653,53,High Energy,335,"Wase, Plateau"
237,Maize,carb,1630,147,High Energy,339,"Bonny, Rivers"
238,Maize,carb,1807,139,High Energy,340,"Degema, Rivers"
239,Maize,carb,2093,116,High Energy,344,"Okrika, Rivers"
240,Maize,carb,2386,146,High Energy,346,"Port Harcourt, Rivers"
241,Maize,carb,2133,89,High Energy,349,"Sokoto, Sokoto"
242,Maize,carb,2329,182,High Fibre,352,"Ibi, Taraba"
243,Maize,carb,1594,189,High Energy,355,"Jalingo, Taraba"
244,Maize,carb,1600,129,High Energy,358,"Muri, Taraba"
245,Maize,carb,1129,123,High Fibre,363,"Damaturu, Yobe"
246,Maize,carb,1913,41,High Fibre,364,"Nguru, Yobe"
247,Maize,carb,1088,116,High Energy,369,"Gusau, Zamfara"
248,Maize,carb,2552,33,High Energy,370,"Kaura Namoda, Zamfara"
249,Garri,carb,863,182,High Fibre,1,"Aba, Abia"
250,Garri,carb,1317,31,High Fibre,5,"Arochukwu, Abia"
251,Garri,carb,1345,134,High Energy,9,"Umuahia, Abia"
252,Garri,carb,507,164,High Energy,11,"Jimeta, Adamawa"
253,Garri,carb,774,146,High Fibre,14,"Mubi, Adamawa"
254,Garri,carb,707,145,High Energy,18,"Numan, Adamawa"
255,Garri,carb,1415,155,High Fibre,20,"Yola, Adamawa"
256,Garri,carb,2067,36,High Energy,23,"Ikot Abasi, Akwa Ibom"
257,Garri,carb,1549,145,High Energy,27,"Ikot Ekpene, Akwa Ibom"
258,Garri,carb,1006,153,High Energy,30,"Oron, Akwa Ibom"
259,Garri,carb,1773,68,High Energy,32,"Uyo, Akwa Ibom"
260,Garri,carb,1279,75,High Energy,36,"Awka, Anambra"
261,Garri,carb,2035,159,High Energy,38,"Onitsha, Anambra"
262,Garri,carb,1335,179,High Energy,40,"Azare, Bauchi"
263,Garri,carb,1575,91,High Energy,44,"Bauchi, Bauchi"
264,Garri,carb,2488,38,High Energy,46,"Jama'are, Bauchi"
265,Garri,carb,2003,200,High Fibre,51,"Katagum, Bauchi"
266,Garri,carb,2161,71,High Fibre,54,"Misau, Bauchi"
267,Garri,carb,1483,50,High Energy,56,"Brass, Bayelsa"
268,Garri,carb,2051,200,High Fibre,60,"Makurdi, Benue"
269,Garri,carb,1593,187,High Fibre,62,"Biu, Borno"
270,Garri,carb,1181,178,High Energy,65,"Dikwa, Borno"
271,Garri,carb,2425,56,High Fibre,68,"Maiduguri, Borno"
272,Garri,carb,952,176,High Fibre,72,"Calabar, Cross River"
273,Garri,carb,1372,69,High Energy,74,"Ogoja, Cross River"
274,Garri,carb,959,65,High Fibre,76,"Asaba, Delta"
275,Garri,carb,890,77,High Energy,80,"Burutu, Delta"
276,Garri,carb,1472,71,High Fibre,82,"Koko, Delta"
277,Garri,carb,1758,68,High Energy,86,"Sapele, Delta"
278,Garri,carb,990,197,High Energy,89,"Ughelli, Delta"
279,Garri,carb,587,67,High Fibre,91,"Warri, Delta"
280,Garri,carb,2149,52,High Fibre,94,"Abakaliki, Ebonyi"
281,Garri,carb,2420,131,High Energy,98,"Benin City, Edo"
282,Garri,carb,1572,131,High Fibre,100,"Ado-Ekiti, Ekiti"
283,Garri,carb,1090,102,High Fibre,104,"Effon-Alaiye, Ekiti"
284,Garri,carb,1318,118,High Energy,108,"Ikere-Ekiti, Ekiti"
285,Garri,carb,2321,55,High Fibre,111,"Enugu, Enugu"
286,Garri,carb,951,90,High Fibre,114,"Nsukka, Enugu"
287,Garri,carb,2241,163,High Energy,115,"Abuja, FCT"
288,Garri,carb,1107,134,High Fibre,120,"Deba Habe, Gombe"
289,Garri,carb,845,196,High Energy,121,"Gombe, Gombe"
290,Garri,carb,905,191,High Fibre,124,"Kumo, Gombe"
291,Garri,carb,1329,119,High Energy,129,"Owerri, Imo"
292,Garri,carb,1527,131,High Energy,130,"Birnin Kudu, Jigawa"
293,Garri,carb,735,40,High Fibre,135,"Dutse, Jigawa"
294,Garri,carb,1307,30,High Energy,136,"Gumel, Jigawa"
295,Garri,carb,2495,82,High Fibre,141,"Hadejia, Jigawa"
296,Garri,carb,2377,138,High Energy,142,"Kazaure, Jigawa"
297,Garri,carb,571,150,High Energy,145,"Jemaa, Kaduna"
298,Garri,carb,1945,138,High Energy,148,"Kaduna, Kaduna"
299,Garri,carb,2108,73,High Energy,151,"Zaria, Kaduna"
300,Garri,carb,1261,71,High Fibre,156,"Kano, Kano"
301,Garri,carb,2204,46,High Fibre,159,"Daura, Katsina"
302,Garri,carb,2354,168,High Energy,160,"Katsina, Katsina"
303,Garri,carb,1494,171,High Fibre,163,"Argungu, Kebbi"
304,Garri,carb,1736,146,High Energy,168,"Birnin Kebbi, Kebbi"
305,Garri,carb,2361,151,High Fibre,171,"Gwandu, Kebbi"
306,Garri,carb,678,42,High Fibre,172,"Yelwa, Kebbi"
307,Garri,carb,1568,153,High Energy,176,"Idah, Kogi"
308,Garri,carb,939,82,High Energy,179,"Kabba, Kogi"
309,Garri,carb,1257,161,High Fibre,181,"Lokoja, Kogi"
310,Garri,carb,1315,157,High Fibre,184,"Okene, Kogi"
311,Garri,carb,2148,121,High Fibre,188,"Ilorin, Kwara"
312,Garri,carb,748,27,High Fibre,191,"Jebba, Kwara"
313,Garri,carb,2456,86,High Energy,193,"Lafiagi, Kwara"
314,Garri,carb,2480,194,High Fibre,196,"Offa, Kwara"
315,Garri,carb,1310,150,High Energy,200,"Pategi, Kwara"
316,Garri,carb,1446,21,High Fibre,204,"Badagry, Lagos"
317,Garri,carb,1797,81,High Fibre,205,"Epe, Lagos"
318,Garri,carb,567,55,High Fibre,209,"Ikeja, Lagos"
319,Garri,carb,1222,38,High Fibre,213,"Ikorodu, Lagos"
320,Garri,carb,2098,93,High Energy,214,"Lagos, Lagos"
321,Garri,carb,1216,154,High Energy,219,"Mushin, Lagos"
322,Garri,carb,1646,83,High Fibre,221,"Shomolu, Lagos"
323,Garri,carb,2010,137,High Energy,223,"Keffi, Nasarawa"
324,Garri,carb,2497,80,High Energy,226,"Lafia, Nasarawa"
325,Garri,carb,1942,32,High Energy,231,"Nasarawa, Nasarawa"
326,Garri,carb,1350,114,High Fibre,232,"Agaie, Niger"
327,Garri,carb,665,50,High Energy,235,"Baro, Niger"
328,Garri,carb,2115,102,High Fibre,239,"Bida, Niger"
329,Garri,carb,1237,101,High Energy,241,"Kontagora, Niger"
330,Garri,carb,2155,103,High Fibre,246,"Lapai, Niger"
331,Garri,carb,1956,65,High Energy,249,"Minna, Niger"
332,Garri,carb,799,118,High Fibre,251,"Suleja, Niger"
333,Garri,carb,548,119,High Energy,253,"Abeokuta, Ogun"
334,Garri,carb,1739,173,High Energy,257,"Ijebu-Ode, Ogun"
335,Garri,carb,1520,32,High Energy,260,"Ilaro, Ogun"
336,Garri,carb,1992,93,High Energy,264,"Shagamu, Ogun"
337,Garri,carb,852,150,High Energy,267,"Akure, Ondo"
338,Garri,carb,1899,29,High Energy,268,"Ikare, Ondo"
339,Garri,carb,1095,31,High Fibre,271,"Oka-Akoko, Ondo"
340,Garri,carb,549,33,High Energy,275,"Ondo, Ondo"
341,Garri,carb,1025,69,High Fibre,279,"Owo, Ondo"
342,Garri,carb,1338,178,High Fibre,282,"Ede, Osun"
343,Garri,carb,1039,153,High Fibre,283,"Ikire, Osun"
344,Garri,carb,1520,169,High Energy,287,"Ikirun, Osun"
345,Garri,carb,1918,44,High Energy,291,"Ila, Osun"
346,Garri,carb,2179,131,High Energy,293,"Ile-Ife, Osun"
347,Garri,carb,1398,183,High Fibre,296,"Ilesha, Osun"
348,Garri,carb,1415,33,High Fibre,298,"Ilobu, Osun"
349,Garri,carb,2358,108,High Energy,301,"Inisa, Osun"
350,Garri,carb,2202,98,High Energy,306,"Iwo, Osun"
351,Garri,carb,1512,46,High Energy,307,"Oshogbo, Osun"
352,Garri,carb,943,158,High Fibre,310,"Ibadan, Oyo"
353,Garri,carb,1863,114,High Energy,315,"Iseyin, Oyo"
354,Garri,carb,1097,140,High Fibre,316,"Ogbomosho, Oyo"
355,Garri,carb,1432,34,High Fibre,319,"Oyo, Oyo"
356,Garri,carb,2406,161,High Fibre,323,"Saki, Oyo"
357,Garri,carb,1690,153,High Energy,325,"Bukuru, Plateau"
358,Garri,carb,1532,122,High Energy,330,"Jos, Plateau"
359,Garri,carb,1209,150,High Energy,331,"Vom, Plateau"
360,Garri,carb,2115,36,High Energy,335,"Wase, Plateau"
361,Garri,carb,2218,199,High Fibre,338,"Bonny, Rivers"
362,Garri,carb,1406,55,High Energy,340,"Degema, Rivers"
363,Garri,carb,1429,132,High Energy,345,"Okrika, Rivers"
364,Garri,carb,773,22,High Energy,347,"Port Harcourt, Rivers"
365,Garri,carb,2344,43,High Energy,350,"Sokoto, Sokoto"
366,Garri,carb,2467,29,High Fibre,353,"Ibi, Taraba"
367,Garri,carb,982,25,High Fibre,355,"Jalingo, Taraba"
368,Garri,carb,1090,32,High Fibre,359,"Muri, Taraba"
369,Garri,carb,2102,67,High Energy,362,"Damaturu, Yobe"
370,Garri,carb,1282,193,High Energy,366,"Nguru, Yobe"
371,Garri,carb,2458,40,High Fibre,368,"Gusau, Zamfara"
372,Garri,carb,2462,92,High Energy,371,"Kaura Namoda, Zamfara"
373,Yam,carb,3485,53,High Energy,3,"Aba, Abia"
374,Yam,carb,7297,140,High Energy,6,"Arochukwu, Abia"
375,Yam,carb,6484,99,High Energy,7,"Umuahia, Abia"
376,Yam,carb,6248,182,High Fibre,10,"Jimeta, Adamawa"
377,Yam,carb,5071,101,High Fibre,15,"Mubi, Adamawa"
378,Yam,carb,7771,179,High Energy,17,"Numan, Adamawa"
379,Yam,carb,2545,97,High Fibre,19,"Yola, Adamawa"
380,Yam,carb,3386,75,High Fibre,24,"Ikot Abasi, Akwa Ibom"
381,Yam,carb,5410,166,High Fibre,25,"Ikot Ekpene, Akwa Ibom"
382,Yam,carb,2629,186,High Energy,28,"Oron, Akwa Ibom"
383,Yam,carb,3114,146,High Fibre,33,"Uyo, Akwa Ibom"
384,Yam,carb,5616,108,High Energy,36,"Awka, Anambra"
385,Yam,carb,7849,30,High Energy,39,"Onitsha, Anambra"
386,Yam,carb,4381,154,High Fibre,40,"Azare, Bauchi"
387,Yam,carb,7190,56,High Fibre,45,"Bauchi, Bauchi"
388,Yam,carb,6217,34,High Fibre,46,"Jama'are, Bauchi"
389,Yam,carb,3965,40,High Energy,49,"Katagum, Bauchi"
390,Yam,carb,2617,62,High Energy,53,"Misau, Bauchi"
391,Yam,carb,4958,86,High Fibre,55,"Brass, Bayelsa"
392,Yam,carb,4358,43,High Fibre,60,"Makurdi, Benue"
393,Yam,carb,3845,35,High Fibre,61,"Biu, Borno"
394,Yam,carb,5620,89,High Fibre,66,"Dikwa, Borno"
395,Yam,carb,5055,103,High Fibre,68,"Maiduguri, Borno"
396,Yam,carb,3808,186,High Fibre,70,"Calabar, Cross River"
397,Yam,carb,7403,101,High Fibre,75,"Ogoja, Cross River"
398,Yam,carb,2853,42,High Energy,78,"Asaba, Delta"
399,Yam,carb,6270,143,High Energy,81,"Burutu, Delta"
400,Yam,carb,7827,123,High Fibre,82,"Koko, Delta"
401,Yam,carb,7402,161,High Fibre,86,"Sapele, Delta"
402,Yam,carb,7702,174,High Fibre,88,"Ughelli, Delta"
403,Yam,carb,2717,114,High Fibre,91,"Warri, Delta"
404,Yam,carb,5051,158,High Fibre,96,"Abakaliki, Ebonyi"
405,Yam,carb,2943,88,High Fibre,98,"Benin City, Edo"
406,Yam,carb,7906,141,High Energy,100,"Ado-Ekiti, Ekiti"
407,Yam,carb,7520,84,High Energy,103,"Effon-Alaiye, Ekiti"
